번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보X(EPSG5174),좌표정보Y(EPSG5174),의료기관종별명,의료인수,입원실수,병상수,총면적,진료과목내용,진료과목내용명,지정취소일자,완화의료지정형태,완화의료담당부서명,구급차특수,구급차일반,총인원,구조사수,허가병상수,최초지정일자,관리주체
11,병원,01_01_01_P,4060000,PHMA220254060482021200001,2025-09-29,,01,영업/정상,13,영업중,,,,,031-934-0516,1121.46,,경기도 파주시 다율동 1044-1,"경기도 파주시 해올2길 8, 503호, 504호, 601호~603호 (다율동)",10865,운정표병원,2025-09-29 17:14:45,I,2025-10-01 00:20:02,병원,,,병원,21,25,44,1121.46,114 113 111 101,"내과, 소아청소년과, 이비인후과, 피부과",,,,0,0,,,0,,시군구
12,병원,01_01_01_P,3520000,PHMA220253520019021200003,2025-09-26,,01,영업/정상,13,영업중,,,,,032-822-8875,2709.82,,인천광역시 연수구 청학동 498-3,"인천광역시 연수구 용담로99번길 29, 2층,7층~9층 (청학동)",21926,인천힐병원,2025-10-31 03:13:23,U,2025-11-02 02:40:00,정신병원,171296.515738613    ,435058.322857413    ,정신병원,12,16,86,2709.82,122 103 102,"신경과, 정신건강의학과, 가정의학과",,,,0,0,,,0,,시군구
13,병원,01_01_01_P,3200000,PHMA220253200033021200001,2025-09-24,,01,영업/정상,13,영업중,,,,,1600-3565,3095.68,,서울특별시 관악구 봉천동 869-12 대연빌딩,"서울특별시 관악구 남부순환로 1814, 대연빌딩 3,4,8,9층 (봉천동)",08787,서울센트럴병원,2025-10-21 11:49:46,U,2025-10-23 02:40:00,병원,195647.366393622    ,442105.342411703    ,병원,28,23,70,3095.68,116 109 106 105 101,"내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과",,,,0,0,,,0,,시군구
14,병원,01_01_01_P,3590000,PHMA220253590019021200001,2025-09-19,,01,영업/정상,13,영업중,,,,,062-228-1100,2834.01,,광주광역시 동구 대인동 4-2,광주광역시 동구 독립로 276 (대인동),61470,하이온요양병원,2025-10-31 09:30:31,U,2025-11-02 02:40:00,요양병원(일반요양병원),191934.052518098    ,184022.709845547    ,요양병원(일반요양병원),8,29,60,2834.01,122 120 101,"내과, 재활의학과, 가정의학과",,,,0,0,,,0,,시군구
15,병원,01_01_01_P,6540000,202565400002000005,2025-08-27,,01,영업/정상,1,정상,,,,,0638544000,4433.89,,전북특별자치도 익산시 춘포면 춘포리 79번지 1호 1호,전북특별자치도 익산시 춘포면 춘포2길 22-43,,벨라비스 요양병원,2025-08-27 15:13:55,I,2025-08-29 00:20:16,요양병원(일반요양병원),,,,12,29,102,4433.89,,,,,,0,0,,,0,,시도
16,병원,01_01_01_P,4681000,PHMA220254681049021200001,2025-08-27,,01,영업/정상,13,영업중,,,,,063854-4000,4433.89,,,전북특별자치도 익산시 춘포면 춘포2길 22-43,54581,벨라비스 요양병원,2025-08-28 16:30:25,I,2025-08-30 00:20:01,요양병원(일반요양병원),,,요양병원(일반요양병원),12,28,100,4433.89,301 101,"내과, 한방내과",,,,0,0,,,0,,시도
17,병원,01_01_01_P,5210000,PHMA220255210013021200002,2025-08-22,,01,영업/정상,13,영업중,,,,,0549316-6600,4865.71,,,경상북도 성주군 성주읍 성주순환로 277-0,40031,명경채요양병원,2025-08-27 15:57:07,I,2025-08-29 00:20:16,요양병원(일반요양병원),,,요양병원(일반요양병원),10,28,80,4865.71,,,,,,0,0,,,0,,시도
18,병원,01_01_01_P,6470000,202564700002000005,2025-08-22,,01,영업/정상,1,정상,,,,,05493166600,4865.71,,경상북도 성주군 성주읍 성산리 66번지 0호 0호,경상북도 성주군 성주읍 성주순환로 277-0,,명경채요양병원,2025-09-25 13:37:29,U,2025-09-27 02:40:00,요양병원(일반요양병원),,,의사,10,29,85,4865.71,,,,,,0,0,,,0,,시도
19,병원,01_01_01_P,3990000,PHMA220253990310021200001,2025-08-19,,01,영업/정상,13,영업중,,,,,031-571-8879,2999.81,,경기도 남양주시 오남읍 양지리 193-8,경기도 남양주시 오남읍 진건오남로884번길 22-20,12036,연세새맘요양병원,2025-09-22 14:30:29,U,2025-09-24 02:40:00,요양병원(일반요양병원),217508.861774406    ,467017.805247729    ,요양병원(일반요양병원),18,20,104,2999.81,125 122 120 116 106 105 104 102 101,"내과, 신경과, 외과, 정형외과, 신경외과, 영상의학과, 재활의학과, 가정의학과, 응급의학과",,,,0,0,,,0,,시군구
20,병원,01_01_01_P,4520000,PHMA220254520031021200002,2025-08-12,,01,영업/정상,13,영업중,,,,,041-541-0975,326.59,,충청남도 아산시 배방읍 공수리 1597 5층,"충청남도 아산시 배방읍 배방로13번길 9-4, 5층 501,502,503호",31482,온아치과병원,2025-08-12 17:05:10,I,2025-08-15 00:20:12,치과병원,204889.271695683    ,363887.329024409    ,치과병원,2,0,0,326.59,412 411 410 409 408 407 406 405 404 403,"치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과, 통합치의학과",,,,0,0,,,0,,시군구
21,병원,01_01_01_P,3340000,PHMA220253340025021200002,2025-08-11,,01,영업/정상,13,영업중,,,,,051-791-0270,1448.38,,부산광역시 사하구 하단동 589-6 경부빌딩,"부산광역시 사하구 낙동남로 1412, 경부빌딩 3,5,13,14층 (하단동)",49427,하단더존한방병원,2025-10-20 11:23:59,U,2025-10-23 02:40:00,한방병원,379187.697731962    ,180291.226241558    ,한방병원,12,17,51,1448.38,308 307 306 305 304 303 302 301 101,"내과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",,,,0,0,,,0,,시군구
22,병원,01_01_01_P,5680000,PHMA220255680060021200001,2025-08-07,,01,영업/정상,13,영업중,,,,,041-430-7124,1488.35,,충청남도 당진시 읍내동 299-2 푸른메디컬빌딩,"충청남도 당진시 계성3길 6, 푸른메디컬빌딩 지하1층(일부), 3~5층 (읍내동)",31770,참잘함한방병원,2025-09-04 17:08:18,U,2025-09-06 02:40:00,한방병원,167366.853946499    ,377454.045842455    ,한방병원,8,18,50,1488.35,308 307 306 305 304 303 302 301 120,"재활의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",,,,0,0,,,0,,시군구
23,병원,01_01_01_P,4530000,PHMA220254530030021200001,2025-08-06,,01,영업/정상,13,영업중,,,,,041-429-0705,1521.48,,충청남도 서산시 동문동 274-20,"충청남도 서산시 중앙로 82, 지하1층~3층, 5층 (동문동)",31991,서산365다담은한방병원,2025-09-16 11:26:19,U,2025-09-18 02:40:00,한방병원,151624.176225102    ,364266.07664067     ,한방병원,12,13,42,1521.48,308 307 306 305 304 303 302 301 122 120 115 111 110 109 103 102 101,"내과, 신경과, 정신건강의학과, 마취통증의학과, 산부인과, 소아청소년과, 비뇨의학과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",,,,0,0,,,0,,시군구
24,병원,01_01_01_P,3220000,PHMA220253220033021200002,2025-08-01,,01,영업/정상,13,영업중,,,,,02-517-1110,1016.75,,"서울특별시 강남구 논현동 49-18 지하1~2층,2~5층","서울특별시 강남구 강남대로132길 5, 지하1~2층,2~5층 (논현동)",06044,하병원,2025-10-31 16:12:49,U,2025-11-02 02:40:00,병원,201835.394674853    ,445560.702719066    ,병원,15,14,32,1016.75,120 116 109 106 105 104 101,"내과, 외과, 정형외과, 신경외과, 마취통증의학과, 영상의학과, 재활의학과",,,,0,0,,,0,,시군구
25,병원,01_01_01_P,3080000,PHMA220253080033021200001,2025-07-29,,01,영업/정상,13,영업중,,,,,02-903-0365,793.04,,"서울특별시 강북구 번동 418-13 2,3층","서울특별시 강북구 오패산로 414, 2,3층 (번동)",01063,365매일한방병원,2025-10-21 14:51:37,U,2025-10-23 02:40:00,한방병원,202257.041331923    ,459476.773483105    ,한방병원,12,9,34,793.04,308 306 302 301,"한방내과, 한방부인과, 한방재활의학과, 침구과",,,,0,0,,,0,,시군구
26,병원,01_01_01_P,6300000,202563000002000003,2025-07-28,,01,영업/정상,BBBB,,,,,,0423418275,1561.62,, ,"대전광역시 동구 동서대로 1719, 바로본병원 (용전동)층 (용전동)",,바로본병원,2025-10-04 16:17:44,U,2025-10-06 02:40:00,병원,,,의사,17,18,66,1561.62,,,,,,0,0,,,0,,시도
27,병원,01_01_01_P,3640000,PHMA220253640023021200003,2025-07-28,,01,영업/정상,13,영업중,,,,,042-341-8275,1561.62,,,"대전광역시 동구 동서대로 1719 (용전동,바로본병원 (용전동))",34550,바로본병원,2025-09-10 09:36:57,U,2025-09-12 02:40:00,병원,,,병원,16,13,47,1561.62,,,,,,0,0,,,0,,시도
28,병원,01_01_01_P,3930000,PHMA220253930154021200002,2025-07-23,,01,영업/정상,13,영업중,,,,,031-416-0714,3364.57,,경기도 안산시 단원구 고잔동 523,"경기도 안산시 단원구 화랑로 376, B1 일부, 2~4층 (고잔동)",15353,열린외과병원,2025-09-19 09:07:10,U,2025-09-21 02:40:00,병원,184795.69117454     ,424336.224294956    ,병원,16,10,35,3364.57,115 114 111 105 104 101,"내과, 외과, 정형외과, 소아청소년과, 피부과, 비뇨의학과",,,,0,0,,,0,,시군구
29,병원,01_01_01_P,4050000,PHMA220254050148021200002,2025-07-21,,01,영업/정상,13,영업중,,,,,0315461525,1994.01,,경기도 용인시 기흥구 마북동 360-9 솔루엠,"경기도 용인시 기흥구 용구대로 2354, 3층 301호 (마북동)",16921,용인아이들병원,2025-08-19 11:36:18,U,2025-08-21 02:40:00,병원,209678.529827953    ,421669.737135212    ,병원,25,27,45,1994.01,111,소아청소년과,,,,0,0,,,0,,시군구
30,병원,01_01_01_P,4010000,PHMA220254010281021200002,2025-07-16,,01,영업/정상,13,영업중,,,,,031-315-5995,898.22,,,"경기도 시흥시 은행로 154, 반도프라자 2~3층 (은행동)",14916,세영한방병원,2025-09-12 13:37:31,U,2025-09-14 02:40:00,한방병원,182195.538353151    ,438084.701611369    ,한방병원,11,12,43,898.22,122 301 302 303 304 305 306 307 308,"가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",,,,0,0,,,0,,시군구
31,병원,01_01_01_P,6470000,202564700002000004,2025-07-11,,01,영업/정상,1,정상,,,,,0544537001,2372.28,,경상북도 구미시 고아읍 이례리 502번지 1호 1호,경상북도 구미시 고아읍 이례로 46-0,,의료법인 베델의료재단 구미천사정신병원,2025-07-14 13:42:11,U,2025-07-16 02:40:00,정신병원,318701.296458337    ,301370.648647812    ,,10,28,151,2372.28,,,,,,0,0,,,0,,시도
32,병원,01_01_01_P,5080000,PHMA220255080036021200001,2025-07-11,,01,영업/정상,13,영업중,,,,,054-453-7001,2372.28,,,경상북도 구미시 고아읍 이례로 46-0,39141,의료법인 베델의료재단 구미천사정신병원,2025-09-29 16:27:02,U,2025-10-01 02:40:00,정신병원,318701.296458337    ,301370.648647812    ,정신병원,8,28,151,2372.28,103,정신건강의학과,,,,0,0,,,0,,시도
33,병원,01_01_01_P,3690000,PHMA220253690018021200001,2025-07-01,,01,영업/정상,13,영업중,,,,,052-290-6000,3487.92,,울산광역시 중구 남외동 512-8,울산광역시 중구 남외2길 36 (남외동),44495,맘스여성병원,2025-07-01 08:16:27,I,2025-07-03 00:20:23,병원,413063.98739351     ,232217.009737985    ,병원,51,24,40,3487.92,122 111 110,"산부인과, 소아청소년과, 가정의학과",,,,0,0,,,0,,시군구
34,병원,01_01_01_P,3340000,PHMA220253340025021200001,2025-06-25,,01,영업/정상,13,영업중,,,,,051-791-0080,828.27,,부산광역시 사하구 하단동 526-4 정우엠타워,"부산광역시 사하구 낙동남로 1409, 정우엠타워 2,3,11층 (하단동)",49311,광덕안정한방병원,2025-08-11 11:35:18,U,2025-08-13 02:40:00,한방병원,379160.163808307    ,180377.587710459    ,한방병원,13,17,32,828.27,308 306 305 304 303 302 301,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 침구과",,,,0,0,,,0,,시군구
35,병원,01_01_01_P,4050000,PHMA220254050149021200001,2025-06-23,,01,영업/정상,13,영업중,,,,,031-8019-9833,1819.8,,경기도 용인시 수지구 풍덕천동 659-14,"경기도 용인시 수지구 수풍로 65, 1층 101-114호, 2층201-210호호 (풍덕천동)",16820,하늘빛어린이병원,2025-08-25 16:08:17,U,2025-08-27 02:40:00,병원,208094.087382551    ,425314.988977821    ,병원,23,30,48,1819.8,122 115 114 113 112 111 110 105 102 101,"내과, 신경과, 정형외과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 가정의학과",,,,0,0,,,0,,시군구
36,병원,01_01_01_P,3030000,PHMA220253030033021200001,2025-06-23,,01,영업/정상,13,영업중,,,,,02-6941-1010,1864.88,,서울특별시 성동구 용답동 99-2 남주빌딩,"서울특별시 성동구 천호대로 282, 남주빌딩 2~5층 (용답동)",04804,성동필한방병원,2025-07-07 09:09:48,U,2025-07-09 02:40:00,한방병원,204535.473963137    ,451612.328704931    ,한방병원,16,16,50,1864.88,101 122 301 306 308,"내과, 가정의학과, 한방내과, 한방재활의학과, 침구과",,,,0,0,,,0,,시군구
37,병원,01_01_01_P,3240000,PHMA220253240033021200001,2025-06-23,,01,영업/정상,13,영업중,,,,,02-6485-1234,1793.17,,서울특별시 강동구 성내동 77-27,"서울특별시 강동구 올림픽로 628-3, 지하1, 지상2~9층 (성내동)",05378,123스텝업병원,2025-10-20 09:13:26,U,2025-10-23 02:40:00,병원,210848.817337376    ,448349.321294041    ,병원,23,13,44,1793.17,116 109 106 105 101,"내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과",,,,0,0,,,0,,시군구
38,병원,01_01_01_P,3520000,PHMA220253520019021200002,2025-06-19,,01,영업/정상,13,영업중,,,,,032-710-4700,1739.55,,인천광역시 연수구 옥련동 204-1,"인천광역시 연수구 옥련로 45, 에스디 메디피아 지하1층 일부, 3층~5층호 (옥련동)",21955,세명한방병원,2025-06-24 09:39:28,U,2025-06-26 02:40:00,한방병원,168475.685440783    ,436182.1545766      ,한방병원,15,17,55,1739.55,308 307 306 304 303 302 301 101,"내과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방재활의학과, 사상체질과, 침구과",,,,0,0,,,0,,시군구
39,병원,01_01_01_P,4641000,PHMA220254641050021200001,2025-06-19,,01,영업/정상,13,영업중,,,,,063-222-7512,2822.4,,,전북특별자치도 전주시 완산구 천잠로 45-0 (삼천동2가),55074,이른비한방병원,2025-07-07 12:51:19,U,2025-07-09 02:40:00,한방병원,,,한방병원,14,24,52,2822.4,307 306 308 305 304 303 302 301 122,"가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",,,,0,0,,,0,,시도
40,병원,01_01_01_P,6540000,202565400002000004,2025-06-19,,01,영업/정상,1,정상,,,,,0632227512,2822.4,, ,"전북특별자치도 전주시 완산구 천잠로 45-0,  (삼천동2가)층 (삼천동2가)",,이른비한방병원,2025-08-27 14:28:02,U,2025-08-29 02:40:00,한방병원,,,한의사,14,25,55,2822.4,,,,,,0,0,,,0,,시도
41,병원,01_01_01_P,4050000,PHMA220254050148021200001,2025-06-18,,01,영업/정상,13,영업중,,,,,031-275-2279,758.62,,경기도 용인시 기흥구 마북동 360-9 솔루엠 206호,"경기도 용인시 기흥구 용구대로 2354, 솔루엠 2층 206호 (마북동)",16921,연세온아치과병원,2025-08-28 11:54:56,U,2025-08-30 02:40:00,치과병원,209678.529827953    ,421669.737135212    ,치과병원,2,0,0,758.62,412 411 408 407 406 405 404 403,"치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 예방치과, 통합치의학과",,,,0,0,,,0,,시군구
42,병원,01_01_01_P,4010000,PHMA220254010281021200001,2025-06-12,,01,영업/정상,13,영업중,,,,,031-497-7582,1543.08,,경기도 시흥시 정왕동 2703-9 가람타워,"경기도 시흥시 거북섬1길 6, 거북섬1길 10, 3층 (정왕동)",15119,거북섬한방병원,2025-09-12 13:35:50,U,2025-09-14 02:40:00,한방병원,171300.251454994    ,424901.176771388    ,한방병원,4,31,52,1543.08,308 306 305 304 303 302 301 101,"내과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 침구과",,,,0,0,,,0,,시군구
43,병원,01_01_01_P,3610000,PHMA220253610019021200004,2025-06-12,,01,영업/정상,13,영업중,,,,,062-653-1500,2938.32,,,"광주광역시 남구 대남대로 271, 지하2~1, 4~9층 (백운동)",61616,선선한방병원,2025-07-04 10:05:44,U,2025-07-06 02:40:00,한방병원,,,한방병원,12,46,98,2938.32,105 122 301 302 303 304 305 306 307 308,"정형외과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",,,,0,0,,,0,,시군구
44,병원,01_01_01_P,5380000,PHMA220255380356021200001,2025-06-12,,01,영업/정상,13,영업중,,,,,055-379-3331,2174.86,,경상남도 양산시 물금읍 범어리 2711-11 캠퍼스프라자1차,"경상남도 양산시 물금읍 청운로 345, 캠퍼스프라자1차 202,204~208,302,305~308,701호",50611,자인힐병원,2025-10-24 09:15:25,U,2025-10-26 02:40:00,병원,383189.632933461    ,204964.435324953    ,병원,7,36,55,2174.86,301 120 104 101,"내과, 외과, 재활의학과, 한방내과",,,,0,0,,,0,,시군구
45,병원,01_01_01_P,3440000,PHMA220253440024021200001,2025-06-11,,01,영업/정상,13,영업중,,,,,053-622-0000,3882.66,,대구광역시 남구 대명동 1140-1,"대구광역시 남구 월배로 480, 2,3,8,9,10,11층 (대명동)",42482,관문병원,2025-10-28 11:04:35,U,2025-10-30 02:40:00,병원,340581.448743009    ,260649.068162733    ,병원,52,35,109,3882.66,120 116 109 106 105 101,"내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과, 재활의학과",,,,0,0,,,0,,시군구
46,병원,01_01_01_P,3370000,PHMA220253370022021200001,2025-06-10,,01,영업/정상,13,영업중,,,,,051-989-5000,9053.57,,부산광역시 연제구 연산동 603-8,부산광역시 연제구 고분로13번길 15 (연산동),47549,세움병원,2025-07-08 13:41:12,U,2025-07-10 02:40:00,병원,389762.986134543    ,189486.317748469    ,병원,62,36,144,9053.57,122 120 114 113 111 109 102 101,"내과, 신경과, 마취통증의학과, 소아청소년과, 이비인후과, 피부과, 재활의학과, 가정의학과",,,,0,0,,,0,,시군구
47,병원,01_01_01_P,6540000,202565400002000003,2025-06-09,,01,영업/정상,1,정상,,,,,0633221000,5129.66,, ,전북특별자치도 무주군 무주읍 당산강변로 284-0,,무주군립요양병원,2025-09-25 09:10:25,U,2025-09-27 02:40:00,요양병원(일반요양병원),,,,14,24,93,5129.66,,,,,,0,0,,,0,,시도
48,병원,01_01_01_P,4741000,PHMA220254741019021200001,2025-06-09,,01,영업/정상,13,영업중,,,,,063322-1000,5129.66,,,전북특별자치도 무주군 무주읍 당산강변로 284-0,55515,무주군립요양병원,2025-06-12 09:48:34,U,2025-06-15 02:40:00,요양병원(일반요양병원),,,요양병원(일반요양병원),11,19,67,5129.66,308 122 106,"신경외과, 가정의학과, 침구과",,,,0,0,,,0,,시도
49,병원,01_01_01_P,3150000,PHMA220253150037021200001,2025-05-29,,01,영업/정상,13,영업중,,,,,02-3665-0823,1308,,서울특별시 강서구 등촌동 700 플러스존,"서울특별시 강서구 공항대로41길 34, 플러스존 3,8,9층 (등촌동)",07587,강서푸른꿈성모어린이병원,2025-05-29 09:38:52,I,2025-05-31 00:20:02,병원,186299.74267687     ,450792.016505679    ,병원,33,43,68,1308,111 101,"내과, 소아청소년과",,,,0,0,,,0,,시군구
50,병원,01_01_01_P,3110000,PHMA220253110032021200001,2025-05-29,,01,영업/정상,13,영업중,,,,,02-6954-1149,1416.62,,서울특별시 은평구 응암동 119-33 정원빌딩,"서울특별시 은평구 응암로 267, 정원빌딩 (응암동)",03455,내일한방병원,2025-10-21 09:58:54,U,2025-10-23 02:40:00,한방병원,192747.915890233    ,454846.243806105    ,한방병원,11,12,40,1416.62,308 307 306 305 304 303 302 301 122,"가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",,,,0,0,,,0,,시군구
51,병원,01_01_01_P,4090000,PHMA220254090023021200001,2025-05-27,,01,영업/정상,13,영업중,,,,,031-984-1071,1818.18,,,경기도 김포시 김포한강1로 75 (장기동),10080,김포 청아람한방병원,2025-09-19 10:01:55,U,2025-09-21 02:40:00,한방병원,170742.146075287    ,460319.380920338    ,한방병원,20,28,46,1818.18,101 105 106 109 110 113 120 122 301 302 303 304 305 306 307 308,"내과, 정형외과, 신경외과, 마취통증의학과, 산부인과, 이비인후과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",,,,0,0,,,0,,시군구
